Timestamp,Full Name,Email Address,Company Name,Service Required,Phone Number,Project Brief
"26/5/2026, 11:32:13 am","df","dfxc@g","fxc","Mobile App","","eadcv"
"26/5/2026, 11:40:55 am","Sitarahub Developers Team","developers@sitarahub.com","fxc","Marketing Automation","","dxcv "
"26/5/2026, 11:48:42 am","Sitarahub Developers Team","developers@sitarahub.com","fxc","ERP Solutions"," 45564156156","xc dcv "
"26/5/2026, 11:51:11 am","rdfv","df@gg","hgc","Other","56456456","dfgvb "
"26/5/2026, 11:52:08 am","soham","s@fs","sitarahub","Mobile App","77777777","hi"
"26/5/2026, 11:56:02 am","cv ","v@c","c","Mobile App","8848","sdc"
"26/5/2026, 11:58:30 am","sdcv","dc@df","","Mobile App","4565154422","sd"
"26/5/2026, 12:00:12 pm","sdvv ","cv@ff","cv","Mobile App","+914444444462","vc"
"26/5/2026, 12:01:03 pm","dcx","d@d","","Mobile App","56561561568464","dsc"
"26/5/2026, 12:39:11 pm","df","gfcv@f","cv","Web Development"," 45564156156","cv"
